Height,Weight,ADD/L,ADD/R,ABD/L,ABD/R,ER/L,ER/R,IR/L,IR/R,EXT/L,EXT/R,FLEX/L,FLEX/R,EB max force,EB mean force,EB sd force,EB max height,EB min height,EB mean height,BB
1.69,48.52,287.05,285.0,206.85,179.9,92.85,94.95,52.3,51.95,166.65,196.7,183.0,146.0,8.33,6.77,0.439446982915631,8.5,7.5,8.08333333333333,9.5
1.63,62.13,292.75,302.75,239.85,207.85,109.25,103.25,98.4,84.05,308.0,257.45,156.6,123.35,9.43,7.76275316455696,0.5847205403501861,7.5,7.0,7.08333333333333,8.5
1.71,54.9,252.4,258.55,233.45,233.65,69.3,68.8,120.0,119.8,141.1,113.2,199.55,204.8,8.76,6.7256832298136695,0.767078650695871,8.0,7.5,7.83333333333333,8.5
1.78,62.04,281.75,296.2,258.65,227.25,97.25,99.05,77.2,62.45,207.15,166.95,158.5,152.85,10.77,8.9951582278481,0.5706796062412839,7.5,7.0,7.33333333333333,9.0
1.62,60.57,323.25,323.25,331.0,357.8,92.7,97.15,146.4,142.25,230.25,142.8,201.0,201.4,10.75,8.09832298136646,0.9086656102814821,8.0,7.5,7.91666666666667,9.0
1.47,36.28,180.2,184.05,159.85,140.4,48.55,48.0,58.4,52.65,94.9,75.9,126.65,84.1,6.29,5.43598101265823,0.391927252263616,6.5,6.0,6.41666666666667,8.0
1.67,47.16,265.35,278.4,205.15,165.05,93.1,94.45,48.95,38.55,226.65,168.45,171.55,119.3,6.84,5.851835443037981,0.308508626840549,8.0,7.5,7.83333333333333,8.5
1.63,51.03,267.85,264.8,233.1,241.15,86.25,83.4,88.35,83.25,104.1,121.4,178.9,173.55,7.79,6.243633540372669,0.5663465710125799,8.0,7.5,7.66666666666667,9.0
1.7,65.0,324.15,322.75,313.75,314.4,89.2,102.5,129.1,109.1,276.1,327.55,223.05,208.3,10.17,6.67822981366459,1.01352979782096,9.0,7.5,8.0,8.5
1.64,46.89,205.75,213.95,226.7,234.65,67.2,72.25,56.45,58.55,163.85,142.85,165.5,160.3,9.1,7.085186335403731,0.61817397368715,7.0,6.5,6.91666666666667,8.5
1.58,41.45,226.0,212.9,168.2,134.6,71.7,64.0,79.65,76.3,212.85,194.0,150.05,128.95,8.49,5.65604430379746,0.7445048538431579,7.5,7.0,7.33333333333333,8.0
1.51,37.82,193.2,169.6,145.5,127.15,48.55,48.0,58.4,52.65,95.15,68.65,85.05,89.0,8.43,5.56566455696202,0.759698688062949,7.5,6.5,6.83333333333333,8.5
1.59,56.78,176.85,199.95,223.25,192.8,59.7,62.4,65.2,58.75,98.05,70.3,139.95,141.7,9.64,8.06740506329114,0.691880511180984,7.5,7.0,7.16666666666667,8.5
1.54,54.36,287.3,304.85,286.35,301.4,98.2,103.65,108.75,100.55,105.85,144.95,145.1,161.15,8.83,6.5739751552795,0.6825230629568821,7.5,7.0,7.33333333333333,8.5
1.57,54.45,225.65,201.3,204.2,203.1,44.9,49.75,83.65,66.0,145.3,162.6,151.75,161.7,8.53,6.509627329192551,0.669272063012248,7.0,6.5,6.83333333333333,8.0
1.69,59.4,269.65,297.25,261.65,255.35,81.7,95.8,138.75,139.2,188.4,208.25,167.2,165.75,9.55,6.93208074534162,0.8631679424577059,8.5,8.0,8.25,8.5
1.69,51.97,259.8,251.75,218.85,201.35,89.75,88.35,101.2,95.7,128.45,174.15,185.35,147.4,9.55,7.25148734177215,0.662324432440412,8.5,8.0,8.25,9.0
1.6,52.15,240.2,246.05,214.15,193.4,58.35,60.15,77.2,63.3,151.65,111.05,165.55,153.6,9.17,6.99605590062111,0.850668220013772,6.5,6.0,6.41666666666667,8.5
1.58,57.14,260.25,258.2,221.1,226.2,77.4,76.85,128.45,106.1,127.2,111.95,186.15,220.2,8.21,6.54698757763975,0.782043767748241,8.0,7.5,7.75,9.5
1.63,52.6,225.85,239.2,200.55,197.25,75.55,73.4,79.2,66.95,175.6,113.15,224.05,196.3,10.23,8.122329192546589,0.7054702881282421,7.5,7.5,7.5,9.0
1.61,55.78,300.65,294.65,190.3,197.6,85.25,91.75,101.65,101.6,151.75,164.35,152.2,146.95,9.03,7.01093167701864,0.7408451023813359,7.5,7.0,7.41666666666667,9.0
1.62,46.71,211.75,204.2,202.75,192.2,69.0,69.65,101.45,106.8,156.75,147.0,137.45,154.05,8.22,5.7902795031056,1.01891560897252,8.5,7.5,7.91666666666667,9.0
1.68,55.32,151.15,175.7,234.65,221.05,53.55,57.25,111.0,86.85,77.45,130.3,172.7,155.2,11.46,9.03440993788819,0.8402360925599979,7.5,7.0,7.25,9.0
1.56,41.26,205.85,212.2,163.05,143.2,69.8,70.45,63.3,56.15,64.4,99.85,127.5,137.05,6.44,5.26894409937888,0.502476858920011,8.0,6.5,7.33333333333333,8.0
1.55,51.24,257.1,246.4,266.25,273.9,87.25,86.8,90.8,98.05,159.1,91.95,155.7,159.35,7.45,6.138105590062111,0.607652508733835,7.5,6.5,6.91666666666667,8.0
1.65,64.39,241.9,248.1,261.45,254.9,72.55,76.9,116.8,117.6,135.0,131.75,160.0,154.55,10.78,8.07810559006211,1.0204310743999598,7.5,7.0,7.41666666666667,9.0
1.66,52.15,205.45,216.3,199.95,211.2,67.65,70.9,143.35,115.75,160.15,116.5,182.15,172.85,8.81,5.84186335403727,1.00548477480271,8.0,7.5,7.75,9.0
1.53,36.73,162.45,183.8,113.85,110.05,43.75,45.8,55.5,51.0,36.9,36.15,97.9,87.15,7.12,5.25605590062111,0.730987236239125,7.5,6.5,7.08333333333333,9.0
1.46,37.64,225.85,247.4,172.05,150.75,54.9,63.45,55.95,55.75,92.8,76.15,159.3,135.0,8.21,5.747236024844719,0.702435992942442,7.5,6.5,7.25,9.0
1.64,53.51,259.3,254.2,215.5,205.75,72.95,79.75,121.6,121.0,155.9,121.0,172.5,156.05,11.23,8.88142857142858,1.29795038864857,8.0,8.0,8.0,9.5
1.59,57.87,360.0,385.0,287.0,312.0,104.0,110.0,112.0,118.0,377.0,312.0,213.0,203.0,9.14,7.49195652173913,0.625356390329692,7.5,7.5,7.5,8.5
1.59,62.1,314.0,288.0,283.0,282.0,92.0,92.0,99.0,82.0,174.0,195.0,159.0,154.0,9.63,7.5723291925465706,1.00303550672111,7.5,7.0,7.33333333333333,7.0
1.81,74.16,408.0,396.0,312.0,304.0,100.0,107.0,127.0,109.0,302.0,315.0,286.0,298.0,9.66,7.26686335403727,0.9068072984911479,8.0,7.0,7.58333333333333,9.0
1.65,60.75,246.0,251.0,244.0,270.0,76.0,71.0,103.0,100.0,227.0,186.0,213.0,188.0,8.0,6.07872670807453,0.6544760286819891,6.5,6.0,6.16666666666667,9.0
1.82,60.39,281.0,292.0,243.0,252.0,84.0,84.0,62.0,58.0,105.0,142.0,182.0,149.0,9.6,7.0654347826086905,0.8903627129046621,8.5,8.0,8.08333333333333,7.0
